"Time (s)","Recording (a.u.)"
1.408333333E-2,-6.332496647E-3
1.410416667E-2,-6.360260770E-3
1.412500000E-2,-5.809034221E-3
1.414583333E-2,-4.928780720E-3
1.416666667E-2,-3.357541980E-3
1.418750000E-2,-1.425213763E-3
1.420833333E-2,-4.773028195E-5
1.422916667E-2,4.935810575E-4
1.425000000E-2,6.317530642E-4
1.427083333E-2,1.080470625E-3
1.429166667E-2,1.926934347E-3
1.431250000E-2,2.667435212E-3
1.433333333E-2,3.171975259E-3
1.435416667E-2,3.587370738E-3
1.437500000E-2,4.409337882E-3
1.439583333E-2,6.114356220E-3
1.441666667E-2,8.182760328E-3
1.443750000E-2,1.014951244E-2
1.445833333E-2,1.281083934E-2
1.447916667E-2,1.661761664E-2
1.450000000E-2,2.029794455E-2
1.452083333E-2,2.293913811E-2
1.454166667E-2,2.523049712E-2
1.456250000E-2,2.754209191E-2
1.458333333E-2,2.934465930E-2
1.460416667E-2,3.026845492E-2
1.462500000E-2,3.036501817E-2
1.464583333E-2,2.977280319E-2
1.466666667E-2,2.891136706E-2
1.468750000E-2,2.921512537E-2
1.470833333E-2,3.171843290E-2
1.472916667E-2,3.533226997E-2
1.475000000E-2,3.897251934E-2
1.477083333E-2,4.293152690E-2
1.479166667E-2,4.717160389E-2
1.481250000E-2,5.122383684E-2
1.483333333E-2,5.479390919E-2
1.485416667E-2,5.758360028E-2
1.487500000E-2,5.956386775E-2
1.489583333E-2,6.093860418E-2
1.491666667E-2,6.241591647E-2
1.493750000E-2,6.500706077E-2
1.495833333E-2,6.849190593E-2
1.497916667E-2,7.160420716E-2
1.500000000E-2,7.388032973E-2
1.502083333E-2,7.572671026E-2
1.504166667E-2,7.750679553E-2
1.506250000E-2,8.004078269E-2
1.508333333E-2,8.382536471E-2
1.510416667E-2,8.770634234E-2
1.512500000E-2,9.056006372E-2
1.514583333E-2,9.243224561E-2
1.516666667E-2,9.395185113E-2
1.518750000E-2,9.552687407E-2
1.520833333E-2,9.666760266E-2
1.522916667E-2,9.709491581E-2
1.525000000E-2,9.722232819E-2
1.527083333E-2,9.758220613E-2
1.529166667E-2,9.895093739E-2
1.531250000E-2,1.017766148E-1
1.533333333E-2,1.056879014E-1
1.535416667E-2,1.097101271E-1
1.537500000E-2,1.130249575E-1
1.539583333E-2,1.159859896E-1
1.541666667E-2,1.196545362E-1
1.543750000E-2,1.245934069E-1
1.545833333E-2,1.306512207E-1
1.547916667E-2,1.369350255E-1
1.550000000E-2,1.419188082E-1
1.552083333E-2,1.449390203E-1
1.554166667E-2,1.462871730E-1
1.556250000E-2,1.457945108E-1
1.558333333E-2,1.442084908E-1
1.560416667E-2,1.437168717E-1
1.562500000E-2,1.451620460E-1
1.564583333E-2,1.473791301E-1
1.566666667E-2,1.491581798E-1
1.568750000E-2,1.506485343E-1
1.570833333E-2,1.528204978E-1
1.572916667E-2,1.555459499E-1
1.575000000E-2,1.577382088E-1
1.577083333E-2,1.593162119E-1
1.579166667E-2,1.609936953E-1
