"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.654687500E4,3.860634932E-2
1.657031250E4,6.782170622E-2
1.659375000E4,2.443803458E-2
1.661718750E4,8.600981882E-3
1.664062500E4,2.237959268E-2
1.666406250E4,1.210412022E-2
1.668750000E4,3.764362318E-2
1.671093750E4,3.079439675E-2
1.673437500E4,1.811453972E-2
1.675781250E4,3.344591345E-2
1.678125000E4,4.197174235E-2
1.680468750E4,2.017612038E-2
1.682812500E4,1.697829238E-2
1.685156250E4,1.627895614E-2
1.687500000E4,2.098415694E-2
1.689843750E4,2.938854811E-2
1.692187500E4,5.260931867E-2
1.694531250E4,5.162380632E-2
1.696875000E4,2.674077588E-2
1.699218750E4,3.274136819E-2
1.701562500E4,1.329728834E-2
1.703906250E4,9.527818037E-3
1.706250000E4,1.946456213E-2
1.708593750E4,3.038840702E-2
1.710937500E4,3.241323019E-2
1.713281250E4,4.795075524E-2
1.715625000E4,4.262989354E-2
1.717968750E4,1.445224759E-2
1.720312500E4,6.076299301E-3
1.722656250E4,9.926321355E-3
1.725000000E4,2.361694116E-3
1.727343750E4,2.680292450E-2
1.729687500E4,4.590505293E-2
1.732031250E4,4.448039813E-2
1.734375000E4,4.183717028E-2
1.736718750E4,4.255650751E-2
1.739062500E4,1.921645141E-2
1.741406250E4,1.367030498E-2
1.743750000E4,9.729210638E-3
1.746093750E4,2.734387956E-2
1.748437500E4,3.384065496E-2
1.750781250E4,3.088115735E-2
1.753125000E4,4.807609131E-2
1.755468750E4,3.803960704E-2
1.757812500E4,2.595342748E-2
1.760156250E4,1.115183336E-2
1.762500000E4,1.071162615E-2
1.764843750E4,1.371284991E-2
1.767187500E4,3.914368055E-2
1.769531250E4,3.059562708E-2
1.771875000E4,3.604109257E-2
1.774218750E4,3.352795756E-2
1.776562500E4,1.784072682E-2
1.778906250E4,1.843680294E-2
1.781250000E4,1.471918463E-2
1.783593750E4,1.687926862E-2
1.785937500E4,3.308256463E-2
1.788281250E4,3.530672914E-2
1.790625000E4,2.875437333E-2
1.792968750E4,3.414641841E-2
1.795312500E4,2.310506172E-2
1.797656250E4,1.815947955E-2
1.800000000E4,8.073501942E-3
1.802343750E4,4.340775968E-3
1.804687500E4,1.968859893E-2
1.807031250E4,2.373052541E-2
1.809375000E4,2.900419349E-2
