BrightnessEV_mean,trial,experimenter,Peak-Frequency_mean,Sound pressure level (dB)_mean,Linear Acceleration x (m/s^2)_mean,Linear Acceleration y (m/s^2)_mean,Linear Acceleration z (m/s^2)_mean,Absolute acceleration (m/s^2)_mean,timestamp,Inclination (deg)_mean,Rotation (deg)_mean,Peak-Frequency_norm,Sound-pressure-level_norm,Linear-Acceleration-norm,heart_rate
4.593848819097482,2,Esmee,67.3828125,-19.68845968125,-0.5042703799720001,-0.052818198661658,0.055798628265669,0.623152934159,501.0,0.8650157741000001,34.147384285,0.010606060606060607,0.5953829412417289,0.41446766070746444,70.67245779268168
4.77796531233501,2,Esmee,65.21739130434783,-21.188460064,-0.4807184882584158,-0.030350579276396,-0.0708430585762277,0.5558478392297029,502.0,1.31036597575,-121.49381334,0.009486166007905139,0.5046522538372042,0.39510457558774315,69.4063869709065
4.754383721956975,2,Esmee,66.23641304347827,-21.36072606333333,-0.4415754299009999,-0.01997212692847,0.04298865930776,0.533410514549,503.0,0.83276498185,-137.44827725,0.010013175230566537,0.494232381472048,0.3594789403638342,69.00688360518659
4.708296934555205,2,Esmee,103.515625,-24.908830356666662,-0.3869834528623762,-0.0567352570345425,0.0153565251018316,0.4158540513554455,504.0,1.20504380895,-105.60470803,0.029292929292929294,0.27961780855648133,0.3155642058309335,66.46578593518383
4.713745042308245,2,Esmee,75.40760869565217,-21.79545158333333,-0.340808565091,-0.0137497773089026,0.017052106370614,0.380003246371,505.0,0.8371068772,-112.94711785,0.014756258234519103,0.46793709134046996,0.27396715118583465,68.1021074702627
4.67981682972795,2,Esmee,118.1640625,-23.208580204,-0.2978957953138614,-0.037540304060096,0.02273629597049,0.3657576169316831,506.0,1.3302752,-105.3976983,0.03686868686868687,0.3824610257217164,0.24029574757416583,67.24927202662766
4.61392429287668,2,Esmee,115.14945652173913,-23.75655570111111,-0.2771305255702,-0.00374644409112,0.0005218172195099,0.3265564017919999,507.0,1.2432355746,-17.469494235,0.035309617918313566,0.3493155718235133,0.22033048990000864,66.6606231394485
4.557546631915013,2,Esmee,76.171875,-23.45073418,-0.2495297620712871,-0.0118821906121683,0.0262276684419108,0.2990997592683168,508.0,1.29512264745,-99.79802078,0.015151515151515152,0.3678138316590462,0.1986852935151479,66.30627863106004
4.5033581267830085,2,Esmee,75.40760869565217,-24.567442504444443,-0.219722810840495,-0.0374310653374257,0.0383117732498217,0.2660045944178217,509.0,1.13738255595,-99.615202545,0.014756258234519103,0.30026737295651823,0.17782540785328474,65.32093690299487
4.457720746641712,2,Esmee,70.3125,-23.314397851000003,-0.1958265672093,-0.013415095841024,0.0222276582065499,0.2318327121456999,510.0,0.96840115795,-96.089631235,0.012121212121212121,0.37606042212037744,0.15397479836119507,65.98694769475833
4.418325584420556,2,Esmee,76.171875,-23.817282898888887,-0.1727520399466831,-0.0026402653590891,0.007816922612297,0.2359745937054455,511.0,0.67278996655,-91.578082585,0.015151515151515152,0.345642359161776,0.13347949146525606,65.51857454469366
4.474585093347625,2,Esmee,68.27445652173913,-24.412537158888888,-0.15200718958134,-0.00813558489395,0.0284744550341299,0.2009839902601,512.0,1.458093549,-96.535162245,0.011067193675889325,0.30963714955559085,0.11840752631045627,64.88424987866853
4.429834901288961,2,Esmee,69.3359375,-23.928570867,-0.1256420684058712,-0.0011203062562785,0.021983087759891,0.1761448224368316,513.0,1.414079891,-84.77645902,0.011616161616161616,0.33891087164837774,0.09564670675585636,65.06442734615061
4.418816459830913,2,Esmee,71.33152173913044,-24.342807763333333,-0.1122694184540896,0.0047343136342749,0.03528520996653,0.1898041221543,514.0,1.085920265,-98.619775975,0.01264822134387352,0.3138548791400719,0.08749839066499378,64.71921010187829
4.4586639328313815,2,Esmee,70.3125,-23.455688643333332,-0.0908951149455544,-0.0243122479584524,0.0020465486333361,0.1788010752808911,515.0,1.5008243425,-91.47472153,0.012121212121212121,0.3675141504928791,0.06777387636680636,65.19478505927324
4.372673117766052,2,Esmee,71.33152173913044,-23.74401779,-0.08052568939838,-0.000849992197182,0.0179171376069789,0.1729443613052,516.0,1.0808957375,-102.7332516,0.01264822134387352,0.3500739538258181,0.05809477236949719,64.91861005174326
4.446641097144189,2,Esmee,71.2890625,-23.322143692222223,-0.0805474728954851,-0.0141477522080742,0.0196824515503967,0.1628970664493069,517.0,1.3739166195,-100.079008925,0.012626262626262626,0.3755918985741834,0.05944196964484024,65.23516379257417
