"Time (s)","Recording (a.u.)"
1.189583333E-2,-3.285457939E-2
1.191666667E-2,-3.439465165E-2
1.193750000E-2,-3.508157656E-2
1.195833333E-2,-3.513373062E-2
1.197916667E-2,-3.627520427E-2
1.200000000E-2,-3.722299263E-2
1.202083333E-2,-3.676346689E-2
1.204166667E-2,-3.621802479E-2
1.206250000E-2,-3.705520928E-2
1.208333333E-2,-3.878676519E-2
1.210416667E-2,-3.998337686E-2
1.212500000E-2,-4.169392586E-2
1.214583333E-2,-4.411265999E-2
1.216666667E-2,-4.401809350E-2
1.218750000E-2,-4.319377989E-2
1.220833333E-2,-4.539034516E-2
1.222916667E-2,-4.746855050E-2
1.225000000E-2,-4.817022383E-2
1.227083333E-2,-4.994351789E-2
1.229166667E-2,-5.103150383E-2
1.231250000E-2,-5.072739720E-2
1.233333333E-2,-5.125551671E-2
1.235416667E-2,-5.203604698E-2
1.237500000E-2,-5.234623700E-2
1.239583333E-2,-5.250873417E-2
1.241666667E-2,-5.165092647E-2
1.243750000E-2,-5.060234666E-2
1.245833333E-2,-5.027802289E-2
1.247916667E-2,-4.949083924E-2
1.250000000E-2,-4.842733592E-2
1.252083333E-2,-4.762074351E-2
1.254166667E-2,-4.754821956E-2
1.256250000E-2,-4.823854938E-2
1.258333333E-2,-4.733422399E-2
1.260416667E-2,-4.533769190E-2
1.262500000E-2,-4.492872208E-2
1.264583333E-2,-4.556973279E-2
1.266666667E-2,-4.586866125E-2
1.268750000E-2,-4.583270103E-2
1.270833333E-2,-4.681774974E-2
1.272916667E-2,-4.812986776E-2
1.275000000E-2,-4.698463902E-2
1.277083333E-2,-4.536130652E-2
1.279166667E-2,-4.600630328E-2
1.281250000E-2,-4.587897286E-2
1.283333333E-2,-4.313596711E-2
1.285416667E-2,-4.068060219E-2
1.287500000E-2,-3.939132392E-2
1.289583333E-2,-3.796697035E-2
1.291666667E-2,-3.756557405E-2
1.293750000E-2,-3.814958781E-2
1.295833333E-2,-3.724829853E-2
1.297916667E-2,-3.545349836E-2
1.300000000E-2,-3.466875106E-2
1.302083333E-2,-3.462740779E-2
1.304166667E-2,-3.420053422E-2
