"Time (s)","Sound pressure level (dB)"
3.034439440E2,-2.169969664E1
3.035531042E2,-1.873229429E1
3.036606389E2,-1.876757758E1
3.037688960E2,-1.932626780E1
3.038772808E2,-1.605823506E1
3.039855470E2,-1.710355453E1
3.040938348E2,-1.946379912E1
3.042027031E2,-2.168742942E1
3.043106862E2,-1.959371788E1
3.044126133E2,-1.979379594E1
3.045237785E2,-1.761153914E1
3.046272060E2,-1.858439588E1
3.047375231E2,-2.241957043E1
3.048443775E2,-1.958137467E1
3.049522638E2,-2.220404062E1
3.050605363E2,-2.046292942E1
3.051688333E2,-2.184219757E1
3.052793769E2,-1.541246960E1
3.053854662E2,-1.878923229E1
3.054919907E2,-2.052055111E1
3.055939086E2,-1.466761260E1
3.056988388E2,-1.467885418E1
3.058099130E2,-1.744864721E1
3.059189022E2,-2.139321808E1
3.060292910E2,-2.341807388E1
3.061314013E2,-2.029339935E1
3.062323780E2,-2.172118554E1
3.063431944E2,-1.974368216E1
3.064522220E2,-2.073198689E1
3.065614481E2,-2.219226388E1
3.066689655E2,-2.137485491E1
3.067774749E2,-1.987994472E1
3.068938989E2,-2.246583080E1
3.070022264E2,-2.360608896E1
3.071106549E2,-2.197923051E1
3.072205067E2,-2.092620681E1
3.073272093E2,-2.442512096E1
3.074311533E2,-2.514481567E1
3.075355517E2,-2.512890666E1
3.076439371E2,-1.959686685E1
3.077522670E2,-1.981932228E1
3.078605541E2,-2.051260594E1
3.079639438E2,-2.344465623E1
3.080750938E2,-2.342370060E1
3.081772619E2,-2.150695177E1
3.082855735E2,-1.479836330E1
3.083939287E2,-1.451314199E1
3.085022152E2,-1.514143447E1
3.086106422E2,-1.796200323E1
3.087218780E2,-1.972255360E1
3.088272058E2,-1.952895620E1
3.089355199E2,-2.261997839E1
3.090438970E2,-2.354797738E1
3.091522001E2,-2.085610406E1
3.092609892E2,-1.931179575E1
3.093718871E2,-2.322361490E1
3.094771931E2,-2.286830001E1
3.095858627E2,-2.296137637E1
3.096959700E2,-2.004646731E1
3.097991265E2,-1.736349536E1
3.099102939E2,-1.859909270E1
3.100189395E2,-2.110641308E1
3.101272109E2,-1.901904857E1
3.102365138E2,-1.724125254E1
3.103438839E2,-2.209674292E1
3.104522550E2,-2.176255707E1
3.105632363E2,-2.119897543E1
3.106688693E2,-1.879645282E1
3.107770917E2,-1.888245672E1
3.108809831E2,-1.929526502E1
3.109919256E2,-2.059928273E1
3.110938160E2,-2.433656732E1
3.111953542E2,-2.205348467E1
3.113022527E2,-2.126047191E1
3.114105671E2,-1.916255788E1
3.115188602E2,-2.198234328E1
3.116271878E2,-2.185532411E1
3.117355671E2,-2.067323092E1
3.118438673E2,-2.004253300E1
3.119503265E2,-2.128493865E1
3.120605037E2,-2.108497199E1
3.121672000E2,-2.336670591E1
3.122771842E2,-2.440324176E1
3.123838747E2,-2.051463687E1
3.124938454E2,-2.106532743E1
