"Time (s)","Sound pressure level (dB)"
3.096077666E2,-1.616515510E1
3.097185720E2,-1.715907587E1
3.098244642E2,-1.595642137E1
3.099352225E2,-1.700549826E1
3.100410455E2,-1.596314366E1
3.101518811E2,-1.574009372E1
3.102577683E2,-1.637672111E1
3.103685491E2,-1.632855888E1
3.104744088E2,-1.553100420E1
3.105852464E2,-1.664396970E1
3.106910549E2,-1.611355112E1
3.108019064E2,-1.658994628E1
3.109078109E2,-1.719244499E1
3.110185788E2,-1.696566724E1
3.111243835E2,-1.678423885E1
3.112352195E2,-1.804805554E1
3.113410210E2,-1.784800627E1
3.114498787E2,-1.742001080E1
3.115577455E2,-1.815908023E1
3.116685427E2,-1.842516100E1
3.117744144E2,-1.848083601E1
3.118852289E2,-1.799673532E1
3.119910981E2,-1.809876429E1
3.121019183E2,-1.805221942E1
3.122077516E2,-1.789626972E1
3.123186013E2,-1.702425373E1
3.124244058E2,-1.878429894E1
3.125352056E2,-1.755161006E1
3.126410463E2,-1.680505628E1
3.127518868E2,-1.788641430E1
3.128577429E2,-1.760847078E1
3.129685449E2,-1.703044123E1
3.130744212E2,-1.678533075E1
3.131852672E2,-1.664852120E1
3.132910657E2,-1.737061165E1
3.134018915E2,-1.653689374E1
3.135077536E2,-1.717030781E1
