"Time (s)","Recording (a.u.)"
1.114583333E-2,1.141089052E-1
1.116666667E-2,1.139423847E-1
1.118750000E-2,1.116925925E-1
1.120833333E-2,1.082505062E-1
1.122916667E-2,1.051059514E-1
1.125000000E-2,1.027093977E-1
1.127083333E-2,1.008841246E-1
1.129166667E-2,9.978951514E-2
1.131250000E-2,9.956109524E-2
1.133333333E-2,9.964468330E-2
1.135416667E-2,9.870024025E-2
1.137500000E-2,9.622502327E-2
1.139583333E-2,9.300954640E-2
1.141666667E-2,8.980172873E-2
1.143750000E-2,8.705060184E-2
1.145833333E-2,8.531712741E-2
1.147916667E-2,8.535399288E-2
1.150000000E-2,8.709752560E-2
1.152083333E-2,8.911333978E-2
1.154166667E-2,9.031893313E-2
1.156250000E-2,9.086480737E-2
1.158333333E-2,9.108211100E-2
1.160416667E-2,9.105136991E-2
1.162500000E-2,9.069789201E-2
1.164583333E-2,8.998002112E-2
1.166666667E-2,8.937379718E-2
1.168750000E-2,8.915862441E-2
1.170833333E-2,8.862625062E-2
1.172916667E-2,8.718276024E-2
1.175000000E-2,8.513636887E-2
1.177083333E-2,8.312468976E-2
1.179166667E-2,8.143091202E-2
1.181250000E-2,7.970549166E-2
1.183333333E-2,7.768119872E-2
1.185416667E-2,7.598146796E-2
1.187500000E-2,7.533777505E-2
1.189583333E-2,7.545530796E-2
1.191666667E-2,7.554301620E-2
1.193750000E-2,7.533735037E-2
1.195833333E-2,7.534980774E-2
1.197916667E-2,7.622960210E-2
1.200000000E-2,7.766187191E-2
1.202083333E-2,7.895860821E-2
1.204166667E-2,8.014534414E-2
1.206250000E-2,8.122183383E-2
1.208333333E-2,8.146917820E-2
1.210416667E-2,8.024738729E-2
1.212500000E-2,7.802449167E-2
1.214583333E-2,7.558289170E-2
1.216666667E-2,7.311916351E-2
1.218750000E-2,7.079565525E-2
1.220833333E-2,6.840015948E-2
1.222916667E-2,6.529480964E-2
1.225000000E-2,6.150284410E-2
1.227083333E-2,5.781970546E-2
1.229166667E-2,5.469490215E-2
1.231250000E-2,5.183264613E-2
1.233333333E-2,4.969903454E-2
1.235416667E-2,4.913287982E-2
1.237500000E-2,4.968117177E-2
1.239583333E-2,5.064575747E-2
1.241666667E-2,5.175185204E-2
1.243750000E-2,5.260259286E-2
1.245833333E-2,5.255437642E-2
1.247916667E-2,5.114808679E-2
1.250000000E-2,4.914211854E-2
1.252083333E-2,4.766453058E-2
1.254166667E-2,4.690193757E-2
1.256250000E-2,4.663484544E-2
1.258333333E-2,4.661501199E-2
1.260416667E-2,4.667972773E-2
1.262500000E-2,4.665158689E-2
1.264583333E-2,4.612472281E-2
1.266666667E-2,4.502755404E-2
1.268750000E-2,4.375467822E-2
1.270833333E-2,4.270033538E-2
1.272916667E-2,4.176174104E-2
1.275000000E-2,4.040282220E-2
1.277083333E-2,3.854665160E-2
1.279166667E-2,3.625579178E-2
1.281250000E-2,3.332681209E-2
1.283333333E-2,3.030616045E-2
1.285416667E-2,2.807537466E-2
1.287500000E-2,2.678101882E-2
1.289583333E-2,2.619402483E-2
1.291666667E-2,2.635101043E-2
1.293750000E-2,2.787434682E-2
1.295833333E-2,3.132693842E-2
1.297916667E-2,3.648377210E-2
1.300000000E-2,4.260989651E-2
1.302083333E-2,4.861449450E-2
1.304166667E-2,5.334441364E-2
1.306250000E-2,5.608618259E-2
1.308333333E-2,5.669175088E-2
1.310416667E-2,5.561460555E-2
1.312500000E-2,5.349205807E-2
1.314583333E-2,5.077095330E-2
1.316666667E-2,4.788251966E-2
1.318750000E-2,4.527513683E-2
1.320833333E-2,4.326882213E-2
1.322916667E-2,4.187495634E-2
1.325000000E-2,4.104572162E-2
1.327083333E-2,4.123085737E-2
1.329166667E-2,4.290129989E-2
1.331250000E-2,4.556304961E-2
1.333333333E-2,4.802007973E-2
1.335416667E-2,4.967124015E-2
1.337500000E-2,5.082290992E-2
1.339583333E-2,5.182202160E-2
1.341666667E-2,5.268607289E-2
1.343750000E-2,5.328576639E-2
1.345833333E-2,5.377090722E-2
1.347916667E-2,5.436238647E-2
1.350000000E-2,5.467116088E-2
1.352083333E-2,5.436914042E-2
1.354166667E-2,5.350991711E-2
1.356250000E-2,5.218149349E-2
1.358333333E-2,5.057027191E-2
1.360416667E-2,4.873219132E-2
1.362500000E-2,4.720831662E-2
1.364583333E-2,4.678511620E-2
1.366666667E-2,4.729631543E-2
1.368750000E-2,4.813746363E-2
1.370833333E-2,4.860050976E-2
1.372916667E-2,4.794180021E-2
1.375000000E-2,4.596254230E-2
1.377083333E-2,4.355986416E-2
1.379166667E-2,4.243031889E-2
1.381250000E-2,4.301368818E-2
1.383333333E-2,4.441000521E-2
1.385416667E-2,4.606533423E-2
1.387500000E-2,4.759304225E-2
1.389583333E-2,4.843489453E-2
1.391666667E-2,4.822462797E-2
1.393750000E-2,4.731334001E-2
1.395833333E-2,4.629050568E-2
1.397916667E-2,4.491570964E-2
1.400000000E-2,4.339520633E-2
1.402083333E-2,4.295484722E-2
1.404166667E-2,4.376085848E-2
1.406250000E-2,4.458858818E-2
1.408333333E-2,4.451166093E-2
1.410416667E-2,4.369238764E-2
1.412500000E-2,4.250948131E-2
1.414583333E-2,4.063545167E-2
1.416666667E-2,3.795823455E-2
1.418750000E-2,3.522880375E-2
1.420833333E-2,3.284994140E-2
1.422916667E-2,3.036781959E-2
1.425000000E-2,2.733966336E-2
1.427083333E-2,2.393670194E-2
1.429166667E-2,2.061383985E-2
1.431250000E-2,1.762708649E-2
1.433333333E-2,1.516053267E-2
1.435416667E-2,1.361068524E-2
1.437500000E-2,1.372941211E-2
1.439583333E-2,1.584260166E-2
1.441666667E-2,1.890923269E-2
1.443750000E-2,2.158105001E-2
1.445833333E-2,2.354374155E-2
1.447916667E-2,2.505240217E-2
1.450000000E-2,2.594906278E-2
1.452083333E-2,2.593750507E-2
1.454166667E-2,2.502101101E-2
1.456250000E-2,2.265001833E-2
1.458333333E-2,1.802292466E-2
1.460416667E-2,1.136338711E-2
1.462500000E-2,3.776242491E-3
1.464583333E-2,-3.470341209E-3
1.466666667E-2,-9.472593665E-3
1.468750000E-2,-1.317823119E-2
1.470833333E-2,-1.340063009E-2
1.472916667E-2,-1.034704130E-2
1.475000000E-2,-5.127179436E-3
1.477083333E-2,1.375378692E-3
1.479166667E-2,8.062614128E-3
1.481250000E-2,1.343635749E-2
1.483333333E-2,1.623554341E-2
1.485416667E-2,1.652274281E-2
1.487500000E-2,1.497043483E-2
1.489583333E-2,1.186995581E-2
1.491666667E-2,8.219460957E-3
1.493750000E-2,5.164486822E-3
1.495833333E-2,2.946282038E-3
1.497916667E-2,1.464342000E-3
1.500000000E-2,7.263834123E-4
1.502083333E-2,1.348562539E-3
1.504166667E-2,3.487361828E-3
1.506250000E-2,6.103586406E-3
1.508333333E-2,8.599163964E-3
1.510416667E-2,1.104903314E-2
1.512500000E-2,1.352297515E-2
1.514583333E-2,1.593340188E-2
1.516666667E-2,1.821807213E-2
1.518750000E-2,2.066131681E-2
1.520833333E-2,2.278992534E-2
1.522916667E-2,2.330732532E-2
1.525000000E-2,2.162301168E-2
1.527083333E-2,1.816618815E-2
1.529166667E-2,1.386778336E-2
1.531250000E-2,9.196579456E-3
1.533333333E-2,4.286215175E-3
1.535416667E-2,2.775103785E-4
1.537500000E-2,-1.297101378E-3
1.539583333E-2,-3.302944242E-5
1.541666667E-2,3.595198505E-3
1.543750000E-2,9.073036723E-3
1.545833333E-2,1.553992927E-2
1.547916667E-2,2.182614058E-2
1.550000000E-2,2.725075744E-2
1.552083333E-2,3.111639060E-2
1.554166667E-2,3.268581256E-2
1.556250000E-2,3.207154572E-2
1.558333333E-2,2.966775745E-2
1.560416667E-2,2.596446872E-2
1.562500000E-2,2.191296965E-2
