"t (s)","Inclination (deg)","Rotation (deg)"
1.824318735E2,3.537049655E-1,2.164232860E1
1.829322455E2,3.873827171E-1,4.647827265E1
1.834326296E2,2.703886545E-1,4.312503144E0
1.839329896E2,3.264903714E-1,5.071059313E1
1.844334120E2,2.415954555E-1,3.653508317E1
1.849338000E2,2.851057932E-1,2.045236133E1
1.859345547E2,3.670348758E-1,4.088649528E1
1.864349492E2,2.634209903E-1,1.976999015E1
1.869353702E2,3.307545989E-1,4.792182385E1
1.874357900E2,2.375198010E-1,1.702466937E1
1.879362110E2,3.140070657E-1,4.101963181E1
1.884366437E2,3.498742013E-1,4.530639162E1
1.889370697E2,2.475939506E-1,2.146126703E1
1.894374986E2,4.954939168E-1,4.702476508E1
1.899379116E2,2.788818503E-1,1.425559837E1
1.904382731E2,4.462617733E-1,5.697137168E1
1.909386571E2,3.062219048E-1,2.259459112E1
1.914388730E2,3.211319497E-1,2.910047741E1
1.919389000E2,3.725619730E-1,4.748955292E1
1.924389266E2,2.975172079E-1,6.490771634E0
1.929389526E2,3.647083518E-1,4.076723772E1
1.934391067E2,2.517826072E-1,1.818086721E1
1.939394257E2,2.677954893E-1,3.721071452E1
1.944398095E2,2.638320119E-1,3.901940047E1
1.949401935E2,1.737681442E-1,3.336636600E1
1.954405610E2,2.795941374E-1,2.866818839E1
1.959409290E2,3.456508660E-1,3.634075721E1
1.964412929E2,2.507290918E-1,2.521185922E1
1.969416429E2,4.289203682E-1,5.339021347E1
1.974419930E2,3.200868927E-1,9.358478589E0
1.979423640E2,3.052236476E-1,4.253086974E1
1.984427047E2,2.915003885E-1,3.099352057E1
1.989430737E2,2.151853317E-1,2.193242095E1
1.994434388E2,4.530146228E-1,4.753076302E1
1.999438098E2,3.352746179E-1,1.275753216E1
2.009445743E2,3.237381293E-1,2.313700424E1
2.014449285E2,3.264123848E-1,3.429270564E1
2.019452905E2,3.054918548E-1,3.019682859E1
2.024456957E2,3.498293081E-1,3.976847444E1
2.029460917E2,3.360352831E-1,3.485665671E1
2.034464506E2,3.634292250E-1,4.638273307E1
2.039468366E2,3.024810507E-1,2.462356478E1
2.044472240E2,3.626834097E-1,4.361726693E1
2.049476360E2,2.735832612E-1,1.268941214E1
2.054480361E2,2.472390150E-1,3.846786331E1
2.059484371E2,2.557090154E-1,3.615818544E1
2.064488520E2,2.449682731E-1,2.893353609E0
2.069492680E2,3.459033752E-1,4.665429190E1
2.074496993E2,1.280192937E-1,1.768439203E1
2.079500273E2,7.658924312E-1,2.353526517E1
2.084500436E2,4.659148211E0,8.449133767E-1
2.089500596E2,6.230004153E0,-1.938875904E0
2.094500747E2,5.978298869E0,-8.321821238E-2
2.099500907E2,6.382670110E0,-1.909417433E0
2.104501068E2,6.961870273E0,-1.029974087E0
2.109501218E2,5.942689271E0,-1.676429559E0
2.114501380E2,5.159134277E0,-2.336702885E0
2.119501530E2,5.435542252E0,-2.286135849E0
2.124501680E2,5.582000727E0,-1.774160506E0
2.129501830E2,5.878200278E0,1.470352442E0
2.134501977E2,6.064872442E0,-1.250255025E0
2.144502262E2,6.002999973E0,7.219305894E-1
2.149502402E2,6.082471499E0,-5.763968475E-1
2.154502556E2,5.984581857E0,-7.239457559E-1
2.159502696E2,5.850353020E0,-2.263615649E0
2.164502833E2,6.245922349E0,-8.122452385E-3
2.169502963E2,6.294719033E0,-1.203140195E0
2.174503092E2,5.996412402E0,-4.082043981E0
2.179503222E2,6.219478141E0,-2.127151113E0
2.184503354E2,5.391568457E0,4.531043689E-1
2.189503484E2,5.656150305E0,-4.386622408E-1
2.194503613E2,5.537693018E0,-2.019440203E0
2.199503733E2,5.401141840E0,1.097378272E0
2.204503858E2,4.999451774E0,2.933367142E0
2.209503978E2,4.249607336E0,7.917848299E-1
2.214504102E2,4.269226123E0,-3.085513488E0
2.219504222E2,4.722814980E0,-2.211673740E0
2.224504331E2,4.680229386E0,-8.396003768E-1
2.229504441E2,4.907453756E0,-9.883359452E0
2.234504558E2,3.591707189E0,4.194086384E0
2.239504678E2,3.583256384E0,-9.616065073E0
2.244504791E2,4.226596216E0,5.308700354E0
2.249504901E2,2.848751962E0,-1.035314977E1
2.259505121E2,3.579994039E0,-2.282732408E1
2.259505121E2,3.579994039E0,-2.282732408E1
2.269980331E2,3.325020834E0,3.580033998E1
2.274980446E2,2.295486469E0,-3.398167750E1
2.279980546E2,2.835629781E0,7.196962039E0
2.284980656E2,2.324740948E0,-1.514719459E1
2.289980766E2,1.065847323E0,1.286296948E0
2.294980891E2,4.492701292E-1,1.253417732E2
2.299956031E2,5.130176331E-1,1.395657784E2
2.304956187E2,1.260843059E0,1.000865317E2
2.309956367E2,4.318091084E-1,-1.415078317E2
2.314956569E2,2.271570694E0,9.961582694E1
2.319956789E2,2.034840761E-1,3.104965718E1
2.324957015E2,9.945423370E-1,6.423703733E1
2.329957255E2,1.090772035E0,7.274189760E1
2.334957499E2,2.830167900E-1,2.664485026E1
2.339957729E2,5.817005812E-1,5.220050481E1
2.344957959E2,8.610870124E-2,-1.666908213E2
2.349958189E2,2.038304533E-1,-1.491653847E2
2.354958421E2,9.028566048E-1,1.572702679E2
2.359958651E2,1.128154403E0,1.691040732E2
2.368459037E2,1.565860591E0,1.584286928E2
2.373459273E2,1.501227474E0,-1.772260167E2
2.378459513E2,1.667308171E0,-1.760022729E2
2.383459759E2,1.270465776E0,-1.738714635E2
2.388460009E2,1.662171662E0,1.663224782E2
2.393460261E2,1.415028780E0,1.576294459E2
2.398460521E2,1.377723547E0,-1.753763860E2
2.403460778E2,1.885563083E0,1.722026828E2
2.408461028E2,1.744380062E0,-1.743619588E2
2.413461294E2,1.181239130E0,1.633007558E2
2.418461554E2,1.883620686E0,1.740035259E2
2.423461805E2,1.787302461E0,-1.685641670E2
2.428462055E2,1.618284218E0,1.375571414E2
2.433462311E2,1.532130516E0,-1.758183622E2
2.438462551E2,1.760969319E0,-1.726935108E2
2.443462780E2,1.442560611E0,1.613550155E2
2.448463010E2,1.319244959E0,-1.793197391E2
2.453463238E2,1.121914189E0,1.717289962E2
2.458463468E2,1.606444356E0,1.627826422E2
2.463463699E2,1.497703462E0,1.733038924E2
2.468463919E2,1.504078205E0,1.650750201E2
2.473464143E2,1.719234885E0,1.610227200E2
2.483464573E2,1.940482034E0,1.415312989E2
2.488464793E2,1.633472051E0,-1.701355364E2
2.493465007E2,2.121274998E0,1.450197051E2
2.498465227E2,1.739632842E0,1.490064794E2
2.503465443E2,1.432593311E0,1.693216490E2
2.508465643E2,2.071096415E0,1.403293973E2
2.513465850E2,1.648295890E0,1.465059458E2
2.518466050E2,1.761662885E0,1.439684339E2
2.523466254E2,1.682527379E0,1.547215172E2
2.528466454E2,1.509137729E0,1.526100666E2
2.533466634E2,1.730135493E0,1.445611726E2
2.538466824E2,1.739403330E0,1.475604478E2
2.543467016E2,1.499732434E0,1.686634555E2
2.548467206E2,1.792932155E0,1.535862577E2
2.553467387E2,1.856491192E0,1.482999302E2
2.558467567E2,1.805342266E0,1.610270784E2
2.563467742E2,1.843996249E0,1.629360907E2
2.568467922E2,1.639653314E0,1.594221306E2
2.573468105E2,1.423147048E0,1.595312705E2
2.578468275E2,1.581602046E0,1.607385332E2
2.583468437E2,1.736157073E0,1.438033946E2
2.588468607E2,1.705497945E0,1.448816676E2
2.598468933E2,1.374655369E0,1.468820682E2
2.603469089E2,1.386722012E0,1.417352120E2
2.608469249E2,1.443925672E0,1.390856168E2
2.613469396E2,7.373057029E-1,1.514872775E2
2.618469556E2,5.247551560E-1,9.894275394E1
2.623469714E2,1.897353264E0,1.551118316E2
2.628469854E2,1.632430027E0,1.745945583E2
2.633469992E2,1.537378131E0,1.657669457E2
2.638470132E2,1.622297788E0,1.505676801E2
2.643470281E2,1.876414834E0,1.772853059E2
2.648470421E2,1.902410024E0,1.688614402E2
2.653470555E2,2.572937234E0,1.704587897E2
2.658470695E2,2.306289121E0,1.666855549E2
2.663470831E2,2.105842603E0,1.420572007E2
2.668470971E2,1.695294013E0,1.636639571E2
2.673471097E2,2.019864601E0,1.498009393E2
2.678471227E2,1.478414018E0,1.656623348E2
2.683471361E2,3.040221639E0,1.564225463E2
2.688471491E2,3.494807043E0,1.593535804E2
2.693471610E2,3.411224331E0,1.685285902E2
2.698471740E2,3.579923635E0,1.571460306E2
2.703471875E2,3.750833762E0,1.711549465E2
2.708472005E2,2.809455018E0,1.610826315E2
2.713472128E2,3.503242454E0,1.695952018E2
2.723472380E2,4.986113809E0,1.754365342E2
2.728472500E2,4.270282748E0,1.749728137E2
2.728472500E2,4.270282748E0,1.749728137E2
2.735972681E2,3.650241359E0,1.742756715E2
2.740972811E2,3.759970524E0,1.727656407E2
2.745972926E2,3.545125102E0,1.748963068E2
2.750973036E2,3.932214831E0,1.736856352E2
2.755973158E2,4.074337890E0,1.755707898E2
2.760973278E2,4.285941771E0,1.735177187E2
2.765973385E2,3.722084927E0,1.750343344E2
