"t (s)","Inclination (deg)","Rotation (deg)"
1.828011651E2,5.848794608E-1,-5.539788567E1
1.833016582E2,5.798038461E-1,-5.117680118E1
1.838021702E2,5.249165936E-1,-5.259464337E1
1.843026770E2,7.191808982E-1,-6.359235441E1
1.848031850E2,6.772384298E-1,-5.732777071E1
1.853036926E2,5.630226322E-1,-5.688212488E1
1.858042256E2,4.971719206E-1,-5.698463078E1
1.863047766E2,6.228116686E-1,-5.189742755E1
1.868052926E2,6.138688049E-1,-6.173286193E1
1.873058201E2,5.371249066E-1,-5.756495646E1
1.878063121E2,5.828538374E-1,-6.219295847E1
1.883068387E2,6.521347077E-1,-6.280954975E1
1.888073827E2,5.519953557E-1,-4.720259816E1
1.893079167E2,5.298536460E-1,-4.817608358E1
1.898084807E2,4.996955726E-1,-5.288749641E1
1.903090498E2,5.573028646E-1,-5.661148642E1
1.908096018E2,6.126880423E-1,-5.754782390E1
1.913101206E2,6.370860928E-1,-5.597900173E1
1.918106566E2,6.009826747E-1,-5.383659113E1
1.923111951E2,6.254236314E-1,-5.403819604E1
1.928117591E2,5.542904473E-1,-5.270989211E1
1.933123053E2,5.908360389E-1,-5.852166857E1
1.938128422E2,6.195629842E-1,-5.483356396E1
1.943133926E2,5.629799314E-1,-5.586153987E1
1.953145205E2,4.563203242E-1,-5.970355182E1
1.958150735E2,6.120108486E-1,-5.910710143E1
1.963156243E2,5.671406565E-1,-4.986317709E1
1.968161893E2,5.538075487E-1,-5.701818859E1
1.973167605E2,5.365498126E-1,-6.157781443E1
1.978173005E2,6.450393955E-1,-5.833590680E1
1.983178222E2,6.742944011E-1,-6.037625125E1
1.988183652E2,6.374797121E-1,-5.597900173E1
1.993188811E2,6.436389706E-1,-5.473698827E1
1.998194341E2,5.746227180E-1,-5.667673783E1
2.003199939E2,5.659494001E-1,-5.826948277E1
2.008205479E2,5.898873233E-1,-5.462175353E1
2.008205479E2,5.898873233E-1,-5.462175353E1
2.016213071E2,9.216673749E-1,-2.082016826E1
2.021212931E2,4.131385808E0,-8.138688564E0
2.026212797E2,6.578263778E0,-5.245566451E0
2.036212531E2,6.853769744E0,-3.742714196E0
2.041212391E2,6.945591334E0,-3.790947997E0
2.046212243E2,6.746473542E0,-3.056072359E0
2.051212103E2,6.798116132E0,-3.189309966E0
2.056211975E2,6.675803014E0,-3.088914719E0
2.061211835E2,6.620970889E0,-4.240578927E0
2.066211692E2,6.829888536E0,-2.827397551E0
2.071211552E2,6.694174124E0,-3.310817418E0
2.076211398E2,6.734707260E0,-3.125829642E0
2.081211258E2,6.541506689E0,-4.531612074E0
2.086211122E2,6.636783244E0,-2.992834664E0
2.091210972E2,6.733278790E0,-3.110513839E0
2.096210841E2,6.289518724E0,-6.326177858E0
2.101210691E2,6.520915164E0,-8.943232693E-1
2.106210550E2,6.217645355E0,-4.923647950E0
2.111210400E2,6.730819937E0,-5.298595461E0
2.116210257E2,6.495074668E0,-7.450952329E0
2.121210107E2,6.556337767E0,-4.792808558E0
2.126209956E2,6.351437162E0,-4.747179279E0
2.131209806E2,6.314343241E0,-2.801448477E0
2.136209661E2,6.104190487E0,4.922657347E0
2.141209511E2,6.031130262E0,-6.568963686E0
2.146209345E2,5.730144713E0,1.087721133E-1
2.156209043E2,5.046613676E0,3.647148091E0
2.161208883E2,4.879004770E0,-2.162818458E0
2.166208731E2,5.087287669E0,-7.438764846E0
2.171208571E2,4.961989005E0,-8.050764992E0
2.176208426E2,4.936697171E0,-4.723433532E0
2.181208266E2,4.437666437E0,-6.067226781E0
2.186208107E2,4.537281372E0,-9.510960379E0
2.191207958E2,4.312880494E0,-7.955395277E0
2.196207801E2,4.786010967E0,-7.368482445E-1
2.201207641E2,4.346806488E0,-9.248728728E0
2.206207467E2,4.460635057E0,7.783962646E-1
2.211207307E2,4.853432876E0,-1.061232734E1
2.216207162E2,2.292841988E0,7.069691215E0
2.221207003E2,1.278065137E0,-9.196646456E1
2.226206836E2,7.948987859E-1,-1.309794329E2
2.231206666E2,1.586309017E0,-1.614852799E2
2.236206507E2,1.730613238E0,1.711761380E2
2.241206347E2,1.023411356E0,1.321583529E2
2.246206215E2,4.347452363E-1,-1.191946386E2
2.251206065E2,1.418687055E0,1.167803856E2
2.256205910E2,1.586564401E0,-9.891998847E1
2.261205760E2,1.204505334E0,-3.678315164E1
2.266205596E2,4.668912896E-1,-3.846905424E1
2.271205456E2,2.460215341E0,-7.624844152E1
2.276205313E2,8.760828743E-1,-6.742408363E1
2.286205035E2,3.357385610E-1,5.407328277E1
2.291204895E2,4.276045941E-1,-1.303114153E2
2.296204742E2,1.421609230E0,-6.832708650E1
2.301204612E2,6.563130124E-1,-2.361374658E0
2.306204481E2,9.712383829E-1,-4.314521490E1
2.311204351E2,6.246350221E-1,-3.164465904E1
2.316204216E2,3.109090612E-1,-4.978253248E1
2.321204086E2,2.596393918E-1,-7.581784229E1
2.326203941E2,1.154390419E0,-8.370763443E1
2.331203811E2,6.511345674E-1,-3.076740439E1
2.336203682E2,6.808173313E-1,1.040329273E1
2.341203552E2,1.076572859E0,-4.855502532E1
2.346203396E2,4.712069814E-1,-1.295382527E1
2.351203266E2,6.910691055E-1,-3.632855935E1
2.356203130E2,8.001882138E-1,-1.302266629E1
2.361202990E2,6.432430310E-1,7.826805406E-1
2.366202860E2,1.665651868E0,-8.639934971E1
2.371202720E2,8.882137174E-1,-6.432702554E1
2.376202575E2,9.574184767E-1,-3.227564431E1
2.381202435E2,2.899033734E-1,1.013668965E1
2.386202295E2,6.845542322E-1,-4.420353908E1
2.391202155E2,6.645482847E-1,-3.613927906E1
2.396201997E2,9.159171859E-1,-2.960878706E1
2.406201721E2,4.811742597E-1,3.622002827E1
2.411201581E2,7.240865005E-1,-4.544414443E1
2.416201423E2,8.070285194E-1,-7.378881454E1
2.421201283E2,4.333505425E-1,-5.014937326E1
2.426201139E2,8.414834999E-1,-5.275003642E1
2.431200989E2,4.188153277E-1,-6.440688577E1
2.436200828E2,6.549306681E-1,-2.805426743E1
2.441200688E2,1.168075246E0,-5.873898188E1
2.446200546E2,1.009737102E-1,5.382637095E1
2.451200396E2,2.841207940E-1,4.204127785E1
2.456200250E2,1.972536402E0,-1.628953967E2
2.461200110E2,2.872654161E0,-1.624621281E2
2.466199961E2,2.636210706E0,-1.688254649E2
2.471199821E2,2.727103291E0,-1.744866739E2
2.476199682E2,2.837337914E0,1.725950573E2
2.481199542E2,2.728621410E0,-1.777468429E2
2.486199395E2,2.524619038E0,-1.787606212E2
2.491199255E2,2.977840883E0,-1.627648742E2
2.496199121E2,4.327479144E0,-1.656926429E2
2.501198981E2,4.036413749E0,1.779274143E2
2.506198830E2,4.175212458E0,-1.581513724E2
2.511198680E2,4.047751568E0,-1.774130208E2
2.516198551E2,4.370982126E0,-1.752229585E2
2.521198411E2,4.424533306E0,-1.736183651E2
2.531198121E2,5.055486673E0,-1.776245732E2
2.536197973E2,5.194162065E0,-1.756385917E2
2.541197823E2,5.088549379E0,1.781050574E2
2.546197672E2,5.179596774E0,-1.764663795E2
2.551197532E2,5.050901188E0,-1.784513093E2
2.556197376E2,4.984441752E0,-1.741561494E2
2.561197226E2,4.938072204E0,-1.790178250E2
2.566197087E2,5.043557903E0,-1.735974867E2
2.571196937E2,5.050279455E0,-1.753971737E2
2.576196783E2,4.286168841E0,-1.715651805E2
2.581196633E2,1.976264299E0,-1.687405039E2
2.586196485E2,1.771923155E0,-1.670118178E2
2.591196335E2,1.807044446E0,-1.591131665E2
2.596196191E2,1.820607947E0,-1.632291394E2
2.601196031E2,2.441428008E0,-1.692846711E2
2.606195877E2,2.726594851E0,-1.700547664E2
2.611195727E2,2.495412644E0,-1.682274912E2
2.616195567E2,3.015847568E0,-1.728410016E2
2.621195407E2,4.425201357E0,-1.745558053E2
2.626195271E2,4.363879829E0,-1.721533373E2
2.631195111E2,4.743537164E0,-1.758808720E2
2.636194962E2,5.258954996E0,-1.747423094E2
2.641194812E2,5.219170901E0,-1.740684731E2
2.646194645E2,5.261440219E0,-1.744189704E2
2.651194485E2,5.216440815E0,-1.731693900E2
2.656194332E2,5.237206216E0,-1.746417535E2
2.661194172E2,4.660976244E0,-1.740452991E2
2.666194028E2,3.969614203E0,-1.741715901E2
2.676193712E2,4.691916806E0,-1.737167246E2
2.681193552E2,4.471557605E0,-1.742704720E2
2.686193382E2,4.563487036E0,-1.724330558E2
2.691193222E2,4.315324962E0,-1.748800641E2
2.696193070E2,3.844962638E0,-1.730931491E2
2.701192910E2,1.641011085E0,-2.194320235E1
2.706192744E2,5.193219257E-1,-4.954648338E1
2.711192584E2,5.763187334E-1,-5.267273096E1
2.716192417E2,5.290522117E-1,-5.569872981E1
2.721192257E2,5.242177664E-1,-5.593457944E1
2.726192092E2,5.378624440E-1,-5.495407249E1
2.731191932E2,5.324885258E-1,-4.439549486E1
2.736191780E2,5.323889860E-1,-5.316815999E1
2.741191610E2,4.917907681E-1,-5.199873492E1
2.746191451E2,5.526609814E-1,-5.103954199E1
2.751191281E2,5.240132938E-1,-5.164198395E1
2.756191113E2,4.980662438E-1,-5.323187095E1
2.761190943E2,5.229660871E-1,-5.491275144E1
2.766190781E2,5.304965663E-1,-5.697212882E1
2.771190611E2,5.347207020E-1,-5.009739974E1
2.776190450E2,5.544688067E-1,-5.296577456E1
2.781190290E2,4.953156606E-1,-4.709437262E1
2.786190122E2,4.901554732E-1,-5.439028229E1
2.791189952E2,5.211808663E-1,-4.960954444E1
2.796189770E2,4.915066368E-1,-5.399534500E1
2.801189600E2,5.200371899E-1,-4.678991061E1
2.806189434E2,4.846463737E-1,-5.729619277E1
2.811189264E2,5.439659697E-1,-4.889301875E1
2.816189100E2,5.707812421E-1,-5.375093015E1
2.826188756E2,4.999513735E-1,-5.594499614E1
2.831188596E2,4.560342737E-1,-5.637147464E1
2.836188422E2,4.715031163E-1,-5.031805902E1
2.841188252E2,5.399010032E-1,-5.865041913E1
2.846188092E2,4.904054583E-1,-5.350187941E1
2.851187922E2,5.719535145E-1,-5.196204626E1
2.856187770E2,5.968484628E-1,-5.071657079E1
